provision_id,provision_uri,legislation_id,legislation_title,section_type,schedule_number,schedule_title,part_number,part_title,chapter_number,chapter_title,class_block,sub_block,provision_number,provision_level,parent_provision_id,text,status,restrict_start_date,restrict_end_date,restrict_extent
article-4-3-e,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/3/e,uksi/2015/596,GPDO 2015,body,,,,,,,,,e,P3,article-4-3,"any development required in connection with the improvement, maintenance or repair of watercourses or drainage works;",valid,,,
article-4-3-f,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/3/f,uksi/2015/596,GPDO 2015,body,,,,,,,,,f,P3,article-4-3,"the maintenance of buildings, runways, taxiways or aprons at an aerodrome; or",valid,,,
article-4-3-g,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/3/g,uksi/2015/596,GPDO 2015,body,,,,,,,,,g,P3,article-4-3,"the provision, alteration and maintenance of equipment, apparatus and works at an aerodrome, required in connection with the movement of traffic by air (other than buildings, the construction, erection, reconstruction or alteration of which is permitted by Class F of Part 8 of Schedule 2).",valid,,,
article-4-4,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/4,uksi/2015/596,GPDO 2015,body,,,,,,,,,4,P2,article-4,"The procedures which must be followed in making, modifying or cancelling any direction made under article 4(1) are set out in Schedule 3.",valid,,,
article-4-5,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/5,uksi/2015/596,GPDO 2015,body,,,,,,,,,5,P2,article-4,"In this article and in Schedule 3— “ local planning authority ” means the local planning authority whose function it would be to determine an application for planning permission for the development to which the direction relates or is proposed to relate; and “ prior approval date ” means the date on which— prior approval is given; a determination that such approval is not required is given, or any period for giving such a determination has expired without the applicant being notified whether prior approval is required, given or refused.",valid,,,
article-5,http://www.legislation.gov.uk/id/uksi/2015/596/article/5,uksi/2015/596,GPDO 2015,body,,,,,,,,,5,P1,,,valid,,,
article-5-1,http://www.legislation.gov.uk/id/uksi/2015/596/article/5/1,uksi/2015/596,GPDO 2015,body,,,,,,,,,1,P2,article-5,"If, on receipt of a notification from any person proposing to carry out development within Class K , KA or M of Part 17 of Schedule 2, a mineral planning authority are satisfied as mentioned in paragraph (2), they may, within a period of 21 days beginning with the receipt of the notification, direct that the permission granted by article 3 does not apply to the development, or to such part of the development as is specified in the direction.",valid,,,
article-5-2,http://www.legislation.gov.uk/id/uksi/2015/596/article/5/2,uksi/2015/596,GPDO 2015,body,,,,,,,,,2,P2,article-5,"The mineral planning authority may make a direction under this article if they are satisfied that it is expedient that the development, or any part of it, should not be carried out unless permission for it is granted on an application because—",valid,,,
article-5-2-a,http://www.legislation.gov.uk/id/uksi/2015/596/article/5/2/a,uksi/2015/596,GPDO 2015,body,,,,,,,,,a,P3,article-5-2,the land on which the development is to be carried out is within—,valid,,,
article-5-2-a-i,http://www.legislation.gov.uk/id/uksi/2015/596/article/5/2/a/i,uksi/2015/596,GPDO 2015,body,,,,,,,,,i,P4,article-5-2-a,i a National Park;,valid,,,
article-5-2-a-ii,http://www.legislation.gov.uk/id/uksi/2015/596/article/5/2/a/ii,uksi/2015/596,GPDO 2015,body,,,,,,,,,ii,P4,article-5-2-a,ii an area of outstanding natural beauty;,valid,,,
article-5-2-a-iii,http://www.legislation.gov.uk/id/uksi/2015/596/article/5/2/a/iii,uksi/2015/596,GPDO 2015,body,,,,,,,,,iii,P4,article-5-2-a,"iii a site of archaeological interest, and the operation to be carried out is not one described in the Schedule to the Areas of Archaeological Importance (Notification of Operations) (Exemption) Order 1984 (exempt operations) ;",valid,,,
article-5-2-a-iv,http://www.legislation.gov.uk/id/uksi/2015/596/article/5/2/a/iv,uksi/2015/596,GPDO 2015,body,,,,,,,,,iv,P4,article-5-2-a,iv a site of special scientific interest; or,valid,,,
article-5-2-a-v,http://www.legislation.gov.uk/id/uksi/2015/596/article/5/2/a/v,uksi/2015/596,GPDO 2015,body,,,,,,,,,v,P4,article-5-2-a,v the Broads;,valid,,,
article-5-2-aa,http://www.legislation.gov.uk/id/uksi/2015/596/article/5/2/aa,uksi/2015/596,GPDO 2015,body,,,,,,,,,aa,P3,article-5-2,"in the case of development otherwise permitted under Class KA, the land on which the development is to be carried out is within a protected groundwater source area (as defined in Class JA of Part 17 of Schedule 2);",valid,,,
article-5-2-b,http://www.legislation.gov.uk/id/uksi/2015/596/article/5/2/b,uksi/2015/596,GPDO 2015,body,,,,,,,,,b,P3,article-5-2,"the development, either taken by itself or taken in conjunction with other development which is already being carried out in the area or in respect of which notification has been given under the provisions of Class K , KA or M of Part 17 of Schedule 2 would cause serious detriment to the amenity of the area in which it is to be carried out or would adversely affect the setting of a Grade I listed building;",valid,,,
article-5-2-c,http://www.legislation.gov.uk/id/uksi/2015/596/article/5/2/c,uksi/2015/596,GPDO 2015,body,,,,,,,,,c,P3,article-5-2,"the development would constitute a serious nuisance to the inhabitants of a nearby residential building, hospital or school; or",valid,,,
article-5-2-d,http://www.legislation.gov.uk/id/uksi/2015/596/article/5/2/d,uksi/2015/596,GPDO 2015,body,,,,,,,,,d,P3,article-5-2,the development would endanger aircraft using a nearby aerodrome.,valid,,,
article-5-3,http://www.legislation.gov.uk/id/uksi/2015/596/article/5/3,uksi/2015/596,GPDO 2015,body,,,,,,,,,3,P2,article-5,"A direction made under this article must contain a statement as to the day on which (if it is not disallowed under paragraph (5)) it comes into force, which must be 29 days from the date on which notice of it is sent to the Secretary of State in accordance with paragraph (4).",valid,,,
article-5-4,http://www.legislation.gov.uk/id/uksi/2015/596/article/5/4,uksi/2015/596,GPDO 2015,body,,,,,,,,,4,P2,article-5,As soon as is reasonably practicable a copy of a direction under this article must be sent by the mineral planning authority to the Secretary of State and to the person who gave notice of the proposal to carry out development.,valid,,,
article-5-5,http://www.legislation.gov.uk/id/uksi/2015/596/article/5/5,uksi/2015/596,GPDO 2015,body,,,,,,,,,5,P2,article-5,"The Secretary of State may, at any time within a period of 28 days beginning with the date on which the direction is made, disallow the direction; and immediately upon receipt of notice in writing from the Secretary of State disallowing the direction, the mineral planning authority must give notice in writing, to the person who gave notice of the proposal, stating that the person is authorised to proceed with the development.",valid,,,
article-6,http://www.legislation.gov.uk/id/uksi/2015/596/article/6,uksi/2015/596,GPDO 2015,body,,,,,,,,,6,P1,,Any power conferred by this Order to give a direction includes power to cancel or vary the direction by a subsequent direction.,valid,,,
article-7,http://www.legislation.gov.uk/id/uksi/2015/596/article/7,uksi/2015/596,GPDO 2015,body,,,,,,,,,7,P1,,"Where, in relation to development permitted by any Class in Schedule 2 which is expressed to be subject to prior approval, an application has been made to a local planning authority for such approval or a determination as to whether such approval is required, the decision in relation to the application must be made by the authority— a within the period specified in the relevant provision of Schedule 2, b where no period is specified, within a period of 8 weeks beginning with the day immediately following that on which the application is received by the authority, or c within such longer period than is referred to in paragraph (a) or (b) as may be agreed by the applicant and the authority in writing.",valid,,,
article-7ZA,http://www.legislation.gov.uk/id/uksi/2015/596/article/7ZA,uksi/2015/596,GPDO 2015,body,,,,,,,,,7ZA,P1,,,valid,,,
article-7ZA-1,http://www.legislation.gov.uk/id/uksi/2015/596/article/7ZA/1,uksi/2015/596,GPDO 2015,body,,,,,,,,,1,P2,article-7ZA,This article applies where the Secretary of State is considering exercising the power under section 77(1) of the Act (reference of applications to Secretary of State) in relation to a prior approval application.,valid,,,
article-7ZA-2,http://www.legislation.gov.uk/id/uksi/2015/596/article/7ZA/2,uksi/2015/596,GPDO 2015,body,,,,,,,,,2,P2,article-7ZA,"Where this article applies, the Secretary of State must give notice in writing (“the pause notice”) to the relevant local planning authority stating that the Secretary of State is considering exercising the power.",valid,,,
article-7ZA-3,http://www.legislation.gov.uk/id/uksi/2015/596/article/7ZA/3,uksi/2015/596,GPDO 2015,body,,,,,,,,,3,P2,article-7ZA,Where the Secretary of State decides not to exercise the power the Secretary of State must give notice in writing to the local planning authority to that effect (“the release notice”).,valid,,,
article-7ZA-4,http://www.legislation.gov.uk/id/uksi/2015/596/article/7ZA/4,uksi/2015/596,GPDO 2015,body,,,,,,,,,4,P2,article-7ZA,"Subject to paragraph (5), the local planning authority must take no further action in relation to that prior approval application from the date it receives the pause notice until the day after the date on which—",valid,,,
article-7ZA-4-a,http://www.legislation.gov.uk/id/uksi/2015/596/article/7ZA/4/a,uksi/2015/596,GPDO 2015,body,,,,,,,,,a,P3,article-7ZA-4,it receives the release notice; or,valid,,,
article-7ZA-4-b,http://www.legislation.gov.uk/id/uksi/2015/596/article/7ZA/4/b,uksi/2015/596,GPDO 2015,body,,,,,,,,,b,P3,article-7ZA-4,the Secretary of State makes a direction under section 77(1) of the Act in relation to the application (“the call-in direction”).,valid,,,
article-7ZA-5,http://www.legislation.gov.uk/id/uksi/2015/596/article/7ZA/5,uksi/2015/596,GPDO 2015,body,,,,,,,,,5,P2,article-7ZA,Where the local planning authority has not satisfied a consultation and notification provision at the date it receives the pause notice—,valid,,,
